Date,Sound,Flame,Humidity,Temperature
2022-05-19,0.02926829268292683,0.0,31.115243902439026,30.940853658536586
2022-05-20,0.10257417960306543,0.7101591668304186,30.313028099823146,32.91118097858126
2022-05-21,0.0,1.0,32.03051881993896,29.183112919633775
2022-05-28,0.0,0.0,33.0,28.0
2022-05-29,0.0,1.0,34.12491909385113,25.05113268608414
2022-06-02,0.10360731345742052,0.04892110031296327,33.145774995882064,27.342282984681272
2022-06-04,0.0,0.0,34.692424242424245,24.30757575757576
2022-06-05,0.11086474501108648,0.0,34.34589800443459,25.28159645232816
2022-06-06,0.059027777777777776,0.0,33.236111111111114,26.76388888888889
2022-06-07,0.10248112189859762,0.2588996763754045,33.357065803667744,26.692556634304207
2022-06-09,0.5859375,0.0,33.5234375,26.734375
2022-06-19,0.16363636363636364,0.0,33.127272727272725,28.0
