Date,Sound,Flame,Humidity,Temperature
2022-05-19 17:44:00,0,0,31,31
2022-05-19 17:48:00,0,0,31,31
2022-05-19 17:52:00,0,0,31,31
2022-05-19 17:56:00,0,0,31,31
2022-05-19 18:00:00,0,0,31,31
2022-05-19 17:42:00,0,0,31,31
2022-05-19 17:47:00,0,0,31,31
2022-05-19 17:45:00,0,0,31,31
2022-05-19 17:50:00,0,0,31,31
2022-05-19 17:52:00,0,0,31,31
2022-05-19 17:57:00,0,0,31,31
2022-05-19 18:02:00,0,0,31,31
2022-05-19 18:07:00,0,0,31,31
2022-05-19 18:12:00,0,0,31,31
2022-05-19 18:17:00,0,0,31,31
2022-05-19 18:22:00,0,0,31,31
2022-05-19 17:55:00,0,0,31,31
2022-05-19 18:00:00,0,0,31,31
2022-05-19 18:05:00,0,0,31,31
2022-05-19 18:10:00,0,0,31,31
2022-05-19 18:15:00,0,0,31,31
2022-05-19 18:20:00,0,0,31,31
2022-05-19 18:26:00,0,0,31,31
2022-05-19 17:41:00,0,0,31,31
2022-05-19 17:46:00,0,0,31,31
2022-05-19 17:51:00,0,0,31,31
2022-05-19 17:56:00,0,0,31,31
2022-05-19 18:01:00,0,0,31,31
2022-05-19 18:06:00,0,0,31,31
2022-05-19 18:11:00,0,0,31,31
2022-05-19 18:16:00,0,0,31,31
2022-05-19 18:21:00,0,0,31,31
2022-05-19 18:27:00,0,0,31,31
2022-05-19 18:32:00,0,0,31,31
2022-05-19 17:44:00,0,0,31,31
2022-05-19 17:49:00,0,0,31,31
2022-05-19 17:54:00,0,0,31,31
2022-05-19 17:59:00,1,0,31,31
2022-05-19 18:04:00,0,0,31,31
2022-05-19 18:09:00,0,0,31,31
2022-05-19 18:14:00,0,0,31,31
2022-05-19 18:19:00,0,0,31,31
2022-05-19 18:25:00,0,0,31,31
2022-05-19 18:30:00,0,0,31,31
2022-05-19 17:42:00,0,0,31,31
2022-05-19 17:44:00,0,0,31,31
2022-05-19 17:46:00,0,0,31,31
2022-05-19 17:48:00,0,0,31,31
2022-05-19 17:50:00,0,0,31,31
2022-05-19 17:52:00,0,0,31,31
2022-05-19 17:54:00,0,0,31,31
2022-05-19 17:56:00,0,0,31,31
2022-05-19 17:58:00,0,0,31,31
2022-05-19 18:00:00,0,0,31,31
2022-05-19 18:02:00,0,0,31,31
2022-05-19 18:04:00,0,0,31,31
2022-05-19 18:06:00,0,0,31,31
2022-05-19 18:08:00,0,0,31,31
2022-05-19 18:10:00,0,0,31,31
2022-05-19 18:12:00,0,0,31,31
2022-05-19 18:14:00,0,0,31,31
2022-05-19 18:16:00,0,0,31,31
2022-05-19 18:18:00,0,0,31,31
2022-05-19 18:20:00,0,0,31,31
2022-05-19 18:22:00,0,0,31,31
2022-05-19 18:25:00,0,0,31,31
2022-05-19 18:27:00,0,0,31,31
2022-05-19 18:29:00,0,0,31,31
2022-05-19 18:31:00,0,0,31,31
2022-05-19 18:33:00,0,0,31,31
2022-05-19 18:35:00,0,0,31,31
2022-05-19 18:37:00,0,0,31,31
2022-05-19 18:39:00,0,0,31,31
2022-05-19 18:41:00,0,0,31,31
2022-05-19 18:43:00,0,0,31,31
2022-05-19 21:45:00,0,0,32,30
2022-05-19 21:47:00,0,0,32,30
2022-05-19 21:49:00,0,0,32,30
2022-05-20 08:05:00,0,0,31,31
2022-05-20 08:07:00,0,0,31,31
2022-05-20 08:09:00,0,0,31,31
2022-05-20 08:11:00,0,0,31,31
2022-05-20 08:13:00,0,0,31,31
2022-05-20 08:15:00,0,0,31,31
2022-05-20 08:17:00,0,0,31,31
2022-05-20 08:19:00,0,0,31,31
2022-05-20 08:21:00,0,0,31,31
2022-05-20 08:23:00,0,0,31,31
2022-05-20 08:25:00,0,0,31,31
2022-05-20 08:27:00,0,0,31,31
2022-05-20 08:29:00,0,0,31,31
2022-05-20 08:31:00,0,0,31,32
2022-05-20 08:33:00,1,0,32,32
2022-05-20 11:51:00,0,1,30,33
2022-05-20 11:53:00,1,1,30,33
2022-05-20 11:55:00,1,1,30,33
2022-05-20 11:57:00,1,1,30,33
2022-05-20 11:59:00,0,1,30,33
2022-05-20 12:01:00,0,1,30,33
2022-05-20 12:03:00,0,1,30,33
2022-05-20 12:05:00,0,1,30,33
2022-05-20 12:07:00,0,1,30,34
2022-05-20 12:09:00,0,1,30,34
2022-05-20 12:11:00,0,1,30,33
2022-05-20 12:13:00,0,1,30,34
